,galaxy,field,sub_field_index,ra_1,ra_2,dec_1,dec_2
234,lmc,LMC129,3,4:59:38.12,5:00:49.06,-70:23:33.5,-70:17:21.2
235,lmc,LMC129,4,4:59:37.73,5:00:48.99,-70:10:39.8,-70:08:01.3
236,lmc,LMC129,5,4:56:06.28,4:57:09.57,-70:14:43.2,-70:10:28.5
237,lmc,LMC129,6,4:56:05.46,4:57:16.93,-70:21:37.7,-70:24:04.3
238,lmc,LMC129,7,4:56:05.16,4:57:16.79,-70:30:39.7,-70:30:53.4
239,lmc,LMC129,8,4:56:03.26,4:57:17.21,-70:42:31.7,-70:41:49.0
240,lmc,LMC130,1,4:59:04.65,5:00:20.11,-71:15:24.1,-71:10:28.1
241,lmc,LMC130,2,4:59:03.61,5:00:18.42,-71:02:46.4,-71:03:37.5
242,lmc,LMC130,3,4:59:02.39,5:00:18.30,-70:58:23.4,-70:57:47.0
243,lmc,LMC130,4,4:59:01.49,5:00:16.26,-70:44:28.2,-70:47:27.2
244,lmc,LMC130,5,4:55:24.70,4:56:37.26,-70:50:36.7,-70:50:43.1
245,lmc,LMC130,6,4:55:24.20,4:56:37.39,-70:55:11.9,-71:00:10.1
246,lmc,LMC130,7,4:55:23.51,4:56:36.86,-71:09:26.1,-71:02:38.6
247,lmc,LMC130,8,4:55:21.58,4:56:36.18,-71:12:01.7,-71:16:10.6
248,lmc,LMC131,1,4:56:34.01,4:57:36.23,-67:08:52.6,-67:10:46.7
249,lmc,LMC131,2,4:56:32.95,4:57:35.76,-66:53:58.7,-67:01:56.3
250,lmc,LMC131,3,4:56:33.37,4:57:34.19,-66:48:49.2,-66:51:49.9
251,lmc,LMC131,4,4:56:31.83,4:57:32.92,-66:41:34.9,-66:37:30.0
252,lmc,LMC131,5,4:53:32.41,4:54:31.98,-66:38:47.3,-66:35:35.6
253,lmc,LMC131,6,4:53:32.03,4:54:32.27,-66:46:19.0,-66:45:50.4
254,lmc,LMC131,7,4:53:29.31,4:54:33.11,-66:59:35.7,-66:55:21.1
255,lmc,LMC131,8,4:53:30.08,4:54:32.23,-67:08:06.9,-67:03:41.4
256,lmc,LMC132,1,4:56:04.05,4:57:08.38,-67:41:59.0,-67:41:52.9
257,lmc,LMC132,2,4:56:03.91,4:57:07.20,-67:36:19.5,-67:30:51.7
258,lmc,LMC132,3,4:56:02.54,4:57:04.36,-67:20:06.4,-67:20:01.9
